adele_code,adele_label,adele_group,capability_key,capability_label,capability_source,relation,flag,justification
AS,Attention and Scan,Primordial,cyber,Cyber-offense,Shevlane,E,0,Scanning code/networks for target elements.
AS,Attention and Scan,Primordial,deception,Deception,Shevlane,-,0,
AS,Attention and Scan,Primordial,persuade,Persuasion & manipulation,Shevlane,-,0,
AS,Attention and Scan,Primordial,polstrat,Political strategy,Shevlane,-,0,
AS,Attention and Scan,Primordial,weapons,Weapons acquisition / CBRN uplift,Shevlane,-,0,
AS,Attention and Scan,Primordial,planning,Long-horizon planning,Shevlane,E,0,Sustaining focus across steps.
AS,Attention and Scan,Primordial,aidev,AI development / ML R&D,Shevlane,-,0,
AS,Attention and Scan,Primordial,sitaware,Situational awareness (deployment/self-locating),Shevlane+Berglund/Laine,-,0,
AS,Attention and Scan,Primordial,selfprolif,Self-proliferation / ARA,Shevlane,E,0,Navigating/scanning digital environments.
AS,Attention and Scan,Primordial,horizon,Autonomous task horizon,METR (add'l),-,0,
AS,Attention and Scan,Primordial,scheming,Scheming / deceptive alignment [PROPENSITY],Hubinger (add'l),-,0,
CEc,Verbal Comprehension,Primordial,cyber,Cyber-offense,Shevlane,-,0,
CEc,Verbal Comprehension,Primordial,deception,Deception,Shevlane,-,0,
CEc,Verbal Comprehension,Primordial,persuade,Persuasion & manipulation,Shevlane,-,0,
CEc,Verbal Comprehension,Primordial,polstrat,Political strategy,Shevlane,-,0,
CEc,Verbal Comprehension,Primordial,weapons,Weapons acquisition / CBRN uplift,Shevlane,-,0,
CEc,Verbal Comprehension,Primordial,planning,Long-horizon planning,Shevlane,-,0,
CEc,Verbal Comprehension,Primordial,aidev,AI development / ML R&D,Shevlane,-,0,
CEc,Verbal Comprehension,Primordial,sitaware,Situational awareness (deployment/self-locating),Shevlane+Berglund/Laine,-,0,
CEc,Verbal Comprehension,Primordial,selfprolif,Self-proliferation / ARA,Shevlane,-,0,
CEc,Verbal Comprehension,Primordial,horizon,Autonomous task horizon,METR (add'l),-,0,
